(2, [153, 50], 500) 
(2, [77, 173], 397.2257921695709) 
(2, [54, 78], 266.2218725681305) 
(2, [159, 99], 500) 
(2, [90, 149], 358.967458486557) 
(2, [191, 189], 500) 
(2, [59, 75], 232.45929884910583) 
(2, [54, 105], 269.11226058006287) 
(2, [52, 106], 215.64992666244507) 
(2, [84, 99], 397.9694011211395) 
(3, [74, 132, 50], 500) 
(3, [198, 196, 167], 500) 
(3, [175, 36, 38], 500) 
(3, [180, 90, 123], 500) 
(3, [193, 74, 102], 500) 
(3, [101, 58, 115], 500) 
(3, [31, 125, 111], 500) 
(3, [132, 128, 91], 500) 
(3, [51, 44, 195], 500) 
(3, [117, 169, 197], 500) 
